Type,Brand,Product,Kosher,Misc,Src
Beer,Minhas Craft Brewery,Guam 1,cRc,,1
Beer,Minhas Craft Brewery,Hammer,cRc,,1
Beer,Minhas Craft Brewery,Haus Dark,cRc,,1
Beer,Minhas Craft Brewery,Haus Lager,cRc,,1
Beer,Minhas Craft Brewery,Haus Red,cRc,,1
Beer,Minhas Craft Brewery,Hiland Lager,cRc,,1
Beer,Minhas Craft Brewery,Hiland Light,cRc,,1
Beer,Minhas Craft Brewery,Hiland Reserve,cRc,,1
Beer,Minhas Craft Brewery,Hopothesis Drafty Window,cRc,,1
Beer,Minhas Craft Brewery,Hopothesis IPA,cRc,,1
Beer,Minhas Craft Brewery,Huber,cRc,,1
Beer,Minhas Craft Brewery,Huber Bock,cRc,,1
Beer,Minhas Craft Brewery,Huber Light,cRc,,1
Beer,Minhas Craft Brewery,Imperial IPA,cRc,,1
Beer,Minhas Craft Brewery,Imperial Jack,cRc,,1
Beer,Minhas Craft Brewery,Jack`s American Lager,cRc,,1
Beer,Minhas Craft Brewery,Jaguar,cRc,,1
Beer,Minhas Craft Brewery,Jaguar Ice,cRc,,1
Beer,Minhas Craft Brewery,KickAxe,cRc,,1
Beer,Minhas Craft Brewery,Lakeshore Creek,cRc,,1
Beer,Minhas Craft Brewery,Lazy Mutt,cRc,,1
Beer,Minhas Craft Brewery,Lazy Mutt Belgian White Ale,cRc,,1
Beer,Minhas Craft Brewery,Lazy Mutt Hefeweizen,cRc,,1
Beer,Minhas Craft Brewery,Lazy Mutt Shandy,cRc,,1
Beer,Minhas Craft Brewery,Lazy Mutt SoCal IPA,cRc,,1
Beer,Minhas Craft Brewery,McCain,cRc,,1
Beer,Minhas Craft Brewery,Minhas Blonde,cRc,,1
Beer,Minhas Craft Brewery,Minhas Bock,cRc,,1
Beer,Minhas Craft Brewery,Minhas Light 75,cRc,,1
Beer,Minhas Craft Brewery,Minhas Light Lime,cRc,,1
Beer,Minhas Craft Brewery,MInhas OktoberFest,cRc,,1
Beer,Minhas Craft Brewery,Minhas Pale Ale,cRc,,1
Beer,Minhas Craft Brewery,Minhas Pilsner,cRc,,1
Beer,Minhas Craft Brewery,Minhas Red Ale,cRc,,1
Beer,Minhas Craft Brewery,Mt Creek,cRc,,1
Beer,Minhas Craft Brewery,Mt Crest,cRc,,1
Beer,Minhas Craft Brewery,Mt Crest Blonde,cRc,,1
Beer,Minhas Craft Brewery,Mt Crest Gold,cRc,,1
Beer,Minhas Craft Brewery,Mt. Crest Gold,cRc,,1
Beer,Minhas Craft Brewery,Mucho Aloha,cRc,,1
Beer,Minhas Craft Brewery,Mystical Jack Traditional Ale,cRc,,1
Beer,Minhas Craft Brewery,Name Tag,cRc,,1
Beer,Minhas Craft Brewery,NGB,cRc,,1
Beer,Minhas Craft Brewery,Palmia,cRc,,1
Beer,Minhas Craft Brewery,Pecatonica Oktoberfest,cRc,,1
Beer,Minhas Craft Brewery,Perfect 10 (40oz.),cRc,,1
Beer,Minhas Craft Brewery,Perfect 10 (Cans),cRc,,1
Beer,Minhas Craft Brewery,Rani Lager,cRc,,1
Beer,Minhas Craft Brewery,Red Tag,cRc,,1
Beer,Minhas Craft Brewery,Regal Brau,cRc,,1
Beer,Minhas Craft Brewery,Regal Brau Ice,cRc,,1
Beer,Minhas Craft Brewery,Regal Brau Light,cRc,,1
Beer,Minhas Craft Brewery,Rhinelander,cRc,,1
Beer,Minhas Craft Brewery,Rhinelander Light,cRc,,1
Beer,Minhas Craft Brewery,Rockhead,cRc,,1
Beer,Minhas Craft Brewery,Route 66,cRc,,1
Beer,Minhas Craft Brewery,Shergill Pale (Mexico),cRc,,1
